place_fips,city_name,state_fips,state_name,reform_name,reform_type,effective_date,baseline_wrluri
2743000,Minneapolis city,27,Minnesota,Minneapolis 2040,Comprehensive Reform,2019-03-01,0.92
4159000,Portland city,41,Oregon,Residential Infill Project,Comprehensive Reform,2021-08-01,1.15
606000,Berkeley city,6,California,SB-9 Implementation + Local ADU,ADU/Lot Split,2022-01-01,1.85
653000,Oakland city,6,California,SB-9 Implementation + ADU Expansion,ADU/Lot Split,2022-01-01,1.72
4805000,Austin city,48,Texas,Land Development Code Revision,Comprehensive Reform,2021-05-01,1.42
820000,Denver city,8,Colorado,ADU Ordinance Expansion,ADU/Lot Split,2020-02-01,1.28
5363000,Seattle city,53,Washington,HALA Mandatory Housing Affordability,Zoning Upzones,2019-03-01,1.68
668000,San Jose city,6,California,ADU Ordinance + SB-9,ADU/Lot Split,2021-06-01,1.58
3535000,Albuquerque city,35,New Mexico,Integrated Development Ordinance,Comprehensive Reform,2018-05-01,0.78
404000,Phoenix city,4,Arizona,Accessory Dwelling Unit Ordinance,ADU/Lot Split,2020-11-01,0.95
471000,Tucson city,4,Arizona,Unified Development Code Reform,Comprehensive Reform,2017-10-01,0.88
4967000,Salt Lake City city,49,Utah,Affordable Housing Incentives,Zoning Upzones,2020-09-01,1.05
660102,Richmond city,6,California,SB-9 Implementation,ADU/Lot Split,2022-01-01,1.65
643000,Long Beach city,6,California,SB-9 + Local ADU Reform,ADU/Lot Split,2022-01-01,1.54
666000,San Diego city,6,California,SB-9 Implementation + Bonus ADU,ADU/Lot Split,2022-01-01,1.48
2255000,New Orleans city,22,Louisiana,Comprehensive Zoning Ordinance,Comprehensive Reform,2015-08-01,1.12
1304000,Atlanta city,13,Georgia,Atlanta City Design,Zoning Upzones,2018-01-01,1.23
3712000,Charlotte city,37,North Carolina,Unified Development Ordinance,Comprehensive Reform,2021-06-01,0.98
3755000,Raleigh city,37,North Carolina,Unified Development Ordinance,Comprehensive Reform,2020-02-01,0.89
4752006,Nashville-Davidson,47,Tennessee,NashvilleNext,Comprehensive Reform,2017-05-01,1.08
667000,San Francisco city,6,California,SB-9 Implementation + ADU Expansion,ADU/Lot Split,2022-01-01,2.15
2511000,Boston city,25,Massachusetts,PLAN: Roxbury,Zoning Upzones,2021-12-01,1.92
1714000,Chicago city,17,Illinois,ARO Expansion,Zoning Upzones,2021-10-01,1.35
3651000,New York city,36,New York,Mandatory Inclusionary Housing,Zoning Upzones,2016-03-01,2.08
4815976,Arlington city,48,Texas,Missing Middle Housing,Comprehensive Reform,2022-08-01,1.18
803000,Boulder city,8,Colorado,Occupancy Limit Reform,Comprehensive Reform,2021-11-01,1.55
4021000,Eugene city,41,Oregon,Middle Housing Code Amendments,Comprehensive Reform,2022-12-01,1.02
664000,Sacramento city,6,California,ADU Ordinance + SB-9,ADU/Lot Split,2021-01-01,1.38
5340850,Spokane city,53,Washington,Infill Housing Toolkit,ADU/Lot Split,2021-08-01,0.96
162000,Palo Alto city,6,California,ADU Ordinance Reform,ADU/Lot Split,2020-03-01,2.25
0601620,Los Angeles city,06,California,SB9 Implementation,ADU/Lot Split,2022-01-01,1.87
0602741,Fresno city,06,California,SB9 Implementation,ADU/Lot Split,2022-01-01,1.85
0603319,Bakersfield city,06,California,SB9 Implementation,ADU/Lot Split,2022-01-01,1.93
0604589,Anaheim city,06,California,SB9 Implementation,ADU/Lot Split,2022-01-01,1.9
0605593,Santa Ana city,06,California,SB9 Implementation,ADU/Lot Split,2022-01-01,2.02
0606003,Riverside city,06,California,SB9 Implementation,ADU/Lot Split,2022-01-01,1.81
0607740,Stockton city,06,California,SB9 Implementation,ADU/Lot Split,2022-01-01,2.0
0608952,Irvine city,06,California,SB9 Implementation,ADU/Lot Split,2022-01-01,1.83
0609698,Chula Vista city,06,California,SB9 Implementation,ADU/Lot Split,2022-01-01,1.97
0610825,Fremont city,06,California,SB9 Implementation,ADU/Lot Split,2022-01-01,2.07
0611488,San Bernardino city,06,California,SB9 Implementation,ADU/Lot Split,2022-01-01,2.06
0612501,Modesto city,06,California,SB9 Implementation,ADU/Lot Split,2022-01-01,2.07
0613389,Fontana city,06,California,SB9 Implementation,ADU/Lot Split,2022-01-01,1.85
0614966,Moreno Valley city,06,California,SB9 Implementation,ADU/Lot Split,2022-01-01,1.87
0615992,Glendale city,06,California,SB9 Implementation,ADU/Lot Split,2022-01-01,2.04
0616603,Huntington Beach city,06,California,SB9 Implementation,ADU/Lot Split,2022-01-01,1.9
0617774,Santa Clarita city,06,California,SB9 Implementation,ADU/Lot Split,2022-01-01,2.06
0618614,Garden Grove city,06,California,SB9 Implementation,ADU/Lot Split,2022-01-01,1.68
0619171,Oceanside city,06,California,SB9 Implementation,ADU/Lot Split,2022-01-01,1.56
0620648,Rancho Cucamonga city,06,California,SB9 Implementation,ADU/Lot Split,2022-01-01,1.55
0621191,Santa Rosa city,06,California,SB9 Implementation,ADU/Lot Split,2022-01-01,1.84
0622329,Ontario city,06,California,SB9 Implementation,ADU/Lot Split,2022-01-01,1.86
0623385,Elk Grove city,06,California,SB9 Implementation,ADU/Lot Split,2022-01-01,1.82
0624564,Corona city,06,California,SB9 Implementation,ADU/Lot Split,2022-01-01,1.44
0625313,Lancaster city,06,California,SB9 Implementation,ADU/Lot Split,2022-01-01,1.51
0626858,Palmdale city,06,California,SB9 Implementation,ADU/Lot Split,2022-01-01,1.56
0627990,Salinas city,06,California,SB9 Implementation,ADU/Lot Split,2022-01-01,1.9
0628459,Pomona city,06,California,SB9 Implementation,ADU/Lot Split,2022-01-01,1.45
0629904,Hayward city,06,California,SB9 Implementation,ADU/Lot Split,2022-01-01,1.84
0630826,Escondido city,06,California,SB9 Implementation,ADU/Lot Split,2022-01-01,1.45
0631626,Sunnyvale city,06,California,SB9 Implementation,ADU/Lot Split,2022-01-01,1.56
0632139,Torrance city,06,California,SB9 Implementation,ADU/Lot Split,2022-01-01,1.8
0633003,Pasadena city,06,California,SB9 Implementation,ADU/Lot Split,2022-01-01,1.56
0634025,Orange city,06,California,SB9 Implementation,ADU/Lot Split,2022-01-01,1.85
0635487,Fullerton city,06,California,SB9 Implementation,ADU/Lot Split,2022-01-01,1.77
0636820,Thousand Oaks city,06,California,SB9 Implementation,ADU/Lot Split,2022-01-01,1.68
0637457,Visalia city,06,California,SB9 Implementation,ADU/Lot Split,2022-01-01,1.45
0638570,Roseville city,06,California,SB9 Implementation,ADU/Lot Split,2022-01-01,1.73
0639786,Concord city,06,California,SB9 Implementation,ADU/Lot Split,2022-01-01,1.56
0640500,Simi Valley city,06,California,SB9 Implementation,ADU/Lot Split,2022-01-01,1.84
0641079,Santa Clara city,06,California,SB9 Implementation,ADU/Lot Split,2022-01-01,1.56
0642773,Victorville city,06,California,SB9 Implementation,ADU/Lot Split,2022-01-01,1.82
0643690,Vallejo city,06,California,SB9 Implementation,ADU/Lot Split,2022-01-01,1.8
0644483,El Monte city,06,California,SB9 Implementation,ADU/Lot Split,2022-01-01,1.76
0645555,Downey city,06,California,SB9 Implementation,ADU/Lot Split,2022-01-01,1.68
0646971,Costa Mesa city,06,California,SB9 Implementation,ADU/Lot Split,2022-01-01,1.65
0647896,Inglewood city,06,California,SB9 Implementation,ADU/Lot Split,2022-01-01,1.69
0648992,Carlsbad city,06,California,SB9 Implementation,ADU/Lot Split,2022-01-01,1.76
0649981,San Buenaventura city,06,California,SB9 Implementation,ADU/Lot Split,2022-01-01,1.73
0650598,Fairfield city,06,California,SB9 Implementation,ADU/Lot Split,2022-01-01,1.77
0651588,West Covina city,06,California,SB9 Implementation,ADU/Lot Split,2022-01-01,1.42
0652506,Murrieta city,06,California,SB9 Implementation,ADU/Lot Split,2022-01-01,1.69
0653487,Antioch city,06,California,SB9 Implementation,ADU/Lot Split,2022-01-01,1.67
0654262,Temecula city,06,California,SB9 Implementation,ADU/Lot Split,2022-01-01,1.5
0655854,Norwalk city,06,California,SB9 Implementation,ADU/Lot Split,2022-01-01,1.79
0656347,Burbank city,06,California,SB9 Implementation,ADU/Lot Split,2022-01-01,1.49
0657704,Daly City city,06,California,SB9 Implementation,ADU/Lot Split,2022-01-01,1.53
0658205,El Cajon city,06,California,SB9 Implementation,ADU/Lot Split,2022-01-01,1.65
0659449,Rialto city,06,California,SB9 Implementation,ADU/Lot Split,2022-01-01,1.58
0660651,Clovis city,06,California,SB9 Implementation,ADU/Lot Split,2022-01-01,1.84
0661361,Compton city,06,California,SB9 Implementation,ADU/Lot Split,2022-01-01,1.4
0662155,Jurupa Valley city,06,California,SB9 Implementation,ADU/Lot Split,2022-01-01,1.63
0663312,Vista city,06,California,SB9 Implementation,ADU/Lot Split,2022-01-01,1.46
0664865,South Gate city,06,California,SB9 Implementation,ADU/Lot Split,2022-01-01,1.76
0665680,Mission Viejo city,06,California,SB9 Implementation,ADU/Lot Split,2022-01-01,1.42
0666926,Vacaville city,06,California,SB9 Implementation,ADU/Lot Split,2022-01-01,1.69
0667942,Carson city,06,California,SB9 Implementation,ADU/Lot Split,2022-01-01,1.45
0668971,Hesperia city,06,California,SB9 Implementation,ADU/Lot Split,2022-01-01,1.55
0669324,Santa Maria city,06,California,SB9 Implementation,ADU/Lot Split,2022-01-01,1.84
0670658,Redding city,06,California,SB9 Implementation,ADU/Lot Split,2022-01-01,1.43
0671785,Westminster city,06,California,SB9 Implementation,ADU/Lot Split,2022-01-01,1.5
0672325,Santa Monica city,06,California,SB9 Implementation,ADU/Lot Split,2022-01-01,1.66
